mixture_id,speaker1_id,speaker2_id,SDR,SIR,SAR,PESQ
32,id04862,id06816,-10.299677301475239,8.37430952846097,-9.641645743561673,1.0527732372283936
33,id04478,id07396,-10.421337241445976,5.314471663809261,-9.123037654266735,1.0458914041519165
34,id04536,id05816,-11.167748608933959,7.881658853930384,-10.289019536249219,1.041109025478363
35,id03862,id06310,-8.310697761361217,9.800749933095325,-7.809168389735774,1.0670452117919922
36,id06913,id07312,-12.247298001780663,4.725032170821217,-10.898111701656362,1.0690234899520874
37,id04950,id05202,-8.497243712264325,9.902821599059305,-7.970589761693639,1.0424503684043884
38,id03980,id05176,-9.37413138817314,10.29451468937471,-8.931522568228484,1.0386545062065125
39,id04627,id05055,-10.163118634048079,9.834091084726081,-9.682570438171053,1.032069742679596
40,id04656,id06209,-9.076404056737488,10.590237244544188,-8.665224107243857,1.0556921362876892
41,id05124,id06811,-8.985682606176365,8.973899722270598,-8.359149821191625,1.0398764610290527
42,id04862,id05015,-11.011877078741119,7.4946325159712055,-10.06005788679666,1.0387036800384521
43,id05176,id06913,-9.397633979018746,9.089538922851851,-8.81017596348988,1.0496898889541626
44,id03969,id04295,-8.961526033454476,10.662949965452405,-8.505226257932023,1.0362403988838196
45,id04656,id06104,-8.347247846482722,9.669424853956894,-7.831573426906369,1.0586888790130615
46,id04295,id06484,-12.956108737457246,1.938148957335555,-10.625101202923101,1.0536462664604187
47,id04030,id05654,-12.550044479361151,0.5525022228061256,-8.602114396832851,1.0536131858825684
48,id05124,id07414,-9.87986221778382,7.110866691465276,-8.958153348788851,1.0410012006759644
49,id03978,id05816,-10.148699347416734,9.675334187528865,-9.645120047076436,1.0462650656700134
50,id05816,id05850,-10.387799475316493,6.421173659088813,-9.388867618759189,1.07782644033432
51,id05816,id06816,-8.867640714223386,10.412517291313709,-8.43577966015079,1.0440104603767395
52,id04119,id06816,-7.905574673022237,9.905368218835196,-7.377919868709538,1.0712095499038696
53,id03839,id05124,-9.485231186931365,9.043144334138136,-8.909102623401864,1.0719434022903442
54,id04570,id05459,-11.038974351254241,2.459239474536989,-6.85528488834699,1.047563076019287
55,id03969,id04478,-10.125698903946326,9.155708244405584,-9.53660086738793,1.0323206782341003
56,id04119,id04657,-7.925820366558104,12.844821962466362,-7.655875932710479,1.0672452449798584
57,id05124,id05594,-7.089211254048848,12.204581410759356,-6.765655669915507,1.0588015913963318
58,id05594,id05850,-9.654650307966207,9.168080433137192,-9.061339262218379,1.0580641031265259
59,id06484,id06692,-8.065477111030457,10.282745419685686,-7.610923099707997,1.0455845594406128
60,id05055,id06484,-9.772604826477671,8.388481330076996,-8.984176563221816,1.0508912205696106
61,id04276,id04950,-10.45984403479138,8.90753947439075,-9.875369614862507,1.0402050614356995
62,id03789,id05816,-11.159547258807981,10.927372044162523,-10.77542057940972,1.0601603388786316
63,id04657,id06913,-10.715899646540993,7.203591315708221,-9.882239399744874,1.039637804031372
64,id06310,id07396,-8.099913562004621,9.625724407384919,-7.518075796558743,1.0602974891662598
65,id04366,id06816,-10.415909640949291,6.867029755679931,-9.509871975105195,1.089455783367157
66,id03789,id04006,-10.966080215178343,7.298960959334311,-10.083563679718974,1.037815511226654
67,id03677,id04232,-10.139917612256664,8.001104643508679,-9.390546910538234,1.041729748249054
68,id04366,id05816,-9.47742596539909,7.327094581872763,-8.537000908474974,1.0440990924835205
69,id04006,id04950,-10.435856010551595,6.778169834150416,-9.445704369935251,1.0289850234985352
70,id05714,id06692,-9.678836449514673,8.59682504853096,-9.051031008956933,1.0671563148498535
71,id05124,id05999,-10.289129884662405,8.998380903696749,-9.714248670060794,1.035113275051117
72,id05176,id05654,-9.941541549692005,5.054076869374644,-8.40675203098434,1.0710915327072144
73,id03981,id07396,-10.732110995447307,7.944402873465932,-9.933130637219097,1.044933021068573
74,id04094,id05202,-7.933073570569635,12.261122269748878,-7.626095836813207,1.0405131578445435
75,id04950,id05015,-9.891941553410287,7.96023198677952,-9.115357191760806,1.0711777210235596
76,id03839,id04253,-9.72467309389394,5.6055739769592705,-8.534918969739982,1.0636191964149475
77,id04094,id05124,-11.825738928386707,7.434884954503377,-10.887276646535327,1.0378904342651367
78,id04006,id06811,-11.985563864460136,6.377361239893834,-10.852054646838406,1.027560830116272
79,id06209,id06811,-8.769631992498702,11.672772616630578,-8.442192578938535,1.0411282181739807
80,id05594,id07312,-9.76250835858324,8.739970005685151,-9.106864501897647,1.0709685683250427
81,id05654,id06692,-12.170815153343403,4.84873139638921,-10.474291279071448,1.0325886607170105
82,id04094,id07426,-11.281768629505905,4.28944556614941,-9.519691535812477,1.0486721396446228
83,id04478,id04656,-9.792411028361395,7.836276816733021,-8.982441622329715,1.0345300436019897
84,id04862,id06913,-8.98435864947407,8.891080635968631,-8.366372250034003,1.0612055659294128
85,id04232,id07312,-9.053877244391195,9.872130099552226,-8.497001473120998,1.0634108185768127
86,id03980,id04657,-15.106385830139711,1.0631991965423562,-11.384622705053355,1.028372049331665
87,id03980,id05654,-9.616563041782015,10.819067170732396,-9.230869257632769,1.0520796179771423
88,id04478,id05055,-7.68249012471925,9.882120539828017,-7.151783132374805,1.068787395954132
89,id03677,id04570,-9.693372923348123,8.790875054695736,-9.045067836013224,1.0453870296478271
90,id03981,id04536,-11.628114133822217,3.489754102100257,-9.767871271858892,1.0360314846038818
91,id03969,id05124,-9.44388518165119,8.464351938986301,-8.768483201500562,1.0557961463928223
92,id03789,id04627,-10.756120174894345,9.63980343165072,-10.259881462001166,1.0350348949432373
93,id03980,id04295,-9.205092987009767,12.001162801795218,-8.871070597696447,1.056579828262329
94,id03789,id04030,-9.613714293172215,9.822959113868079,-9.130852949103986,1.0514000058174133
95,id03677,id04253,-8.400996117859862,8.811879155583416,-7.763256980161273,1.050350546836853
96,id04627,id06811,-13.573758386662435,1.2531909354551525,-10.06402155424985,1.0274051427841187
97,id04862,id06692,-9.834162461507132,6.537330455225913,-8.860730118657248,1.0667269825935364
98,id04536,id04657,-9.97127935630029,7.010298602051687,-9.07146833636601,1.0871210098266602
99,id05459,id06484,-13.649678997380267,5.076506283615809,-11.472259774272345,1.0267359018325806
100,id03677,id03978,-10.545114520141421,9.344142317652892,-10.011108394106238,1.0513060092926025
101,id04478,id07312,-7.631996203319708,9.298888707260232,-7.055180529188876,1.0836037397384644
102,id04627,id05176,-10.31627990510979,4.570284251341006,-8.687806624064336,1.0548154711723328
103,id04232,id05999,-10.53961104306609,5.697779602065072,-9.394894700331733,1.0512112379074097
104,id03980,id05055,-10.916023908397566,9.125572808697283,-10.333199508596309,1.0390400290489197
105,id04119,id04478,-7.781723030782879,10.308723225235447,-7.3163405187948785,1.0578765869140625
106,id03981,id07426,-11.344257968504486,6.944729749422703,-10.475580873945134,1.0681320428848267
107,id03981,id05654,-13.013164416275703,7.281337290243574,-12.108417430817259,1.0379552245140076
108,id05202,id07354,-9.107480895702665,9.956089278961514,-8.622751793769021,1.0401178002357483
109,id04627,id05124,-10.905102704798006,6.383247217705181,-9.889497144889372,1.051289439201355
110,id04862,id07426,-9.51585131486863,9.041725577194596,-8.902265437347214,1.0400956869125366
111,id04366,id04950,-8.57069378596534,8.545435829030678,-7.911760300815919,1.1113709211349487
112,id05015,id05055,-9.908342408256976,7.530491935358828,-9.084135904180389,1.03579181432724
113,id04253,id05055,-11.344740687975879,6.64287447879741,-10.408912011227766,1.0410213470458984
114,id05015,id06816,-10.607874484755769,9.81746703111802,-10.069783809170296,1.0464022755622864
115,id04627,id06209,-8.712223920243687,12.293774845174998,-8.409144264809392,1.0319316387176514
116,id04366,id05594,-8.111540147224572,8.572316223925213,-7.3676989530569355,1.084495186805725
117,id04232,id04478,-9.722392864180275,10.398795649606994,-9.30062766294113,1.0380951762199402
118,id03789,id03839,-9.46110018793417,10.355660001606736,-9.030033921204303,1.0649718046188354
119,id04570,id06484,-9.063776003751634,10.31555189454047,-8.622989359017534,1.0343471765518188
120,id05202,id05816,-8.598522968116814,8.47772655181596,-7.717686614778539,1.0512762069702148
