mixture_id,speaker1_id,speaker2_id,SDR,SIR,SAR,PESQ,pretrained_speaker_acc,finetuned_speaker_acc
mix_00109,id04627,id05124,5.404063600132044,22.41143492404656,5.524856007889671,1.476146936416626,0.0,0.0
mix_00110,id04862,id07426,5.3233656971363175,24.78694493260253,5.3934917951992425,1.2313962578773499,0.0,0.0
mix_00111,id04366,id04950,8.826008882072202,28.747363841068026,8.881423119401541,1.607612133026123,1.0,1.0
mix_00112,id05015,id05055,5.531015046123159,24.075966111737536,5.611833193652731,1.2359095811843872,0.0,0.0
mix_00113,id04253,id05055,0.7974359061001783,15.929019094253903,1.1312987247033561,1.2660740613937378,1.0,1.0
mix_00114,id05015,id06816,8.563887259445941,27.37597719894051,8.641290368276826,1.4943928718566895,0.0,0.0
mix_00115,id04627,id06209,10.416580419614466,27.53697432645994,10.524795889069864,1.4459945559501648,0.0,0.0
mix_00116,id04366,id05594,7.557745210139501,23.637464518583176,7.696224033542585,1.3539583086967468,1.0,1.0
mix_00117,id04232,id04478,9.014414335119149,26.25794033593982,9.118411047472442,1.567035734653473,1.0,1.0
mix_00118,id03789,id03839,6.051453969432725,25.578059608024766,6.11459013771344,1.4533225893974304,0.0,0.0
mix_00119,id04570,id06484,11.888964999860686,27.935797469805387,12.005515223684721,1.665013611316681,0.0,0.0
mix_00120,id05202,id05816,1.0863533928513749,18.492001048968714,1.2402654762168446,1.1901440620422363,0.0,0.0
mix_00121,id04276,id04295,8.413545491243266,28.28795109224409,8.472757717121189,1.6188051104545593,0.0,0.0
mix_00122,id04570,id05176,9.38305773987523,26.54294490657366,9.477107847947755,1.3522388935089111,0.0,0.0
mix_00123,id04862,id07414,3.7731503141601537,14.623667829633611,4.35586664996028,1.2827584147453308,1.0,1.0
mix_00124,id04950,id07396,5.218871613888045,22.78010136968461,5.328721659986357,1.4130220413208008,0.0,0.0
mix_00125,id04030,id05015,4.829605733714337,20.216177484753032,5.030470123322683,1.2781484723091125,0.0,0.0
mix_00126,id04030,id07414,4.406861739330106,21.174483682860064,4.543408875295868,1.3357784152030945,0.0,0.0
mix_00127,id05850,id05999,2.384634755574743,15.993959099618266,2.7581069912050578,1.1673985719680786,1.0,1.0
mix_00128,id04030,id06913,6.736369694624716,18.84586832332473,7.115826343671484,1.3861128091812134,0.0,0.0
mix_00129,id03980,id05124,6.714980895761569,26.08053711432794,6.776618968634592,1.3198744058609009,0.0,0.0
mix_00130,id04862,id05202,6.254009816842652,23.825792756816845,6.350940780530495,1.4793931245803833,1.0,1.0
mix_00131,id04656,id05055,6.32834620838621,25.60003051217498,6.393016162870209,1.349962294101715,0.0,0.0
mix_00132,id04006,id07354,8.56503059167704,26.212285963171645,8.653308115813967,1.7113617658615112,0.0,0.0
mix_00133,id05202,id05999,3.901980980104754,26.07419815019984,3.944330714434003,1.4090215563774109,0.0,0.0
mix_00134,id03978,id07414,2.642994604600433,19.42588419720569,2.7856506277968167,1.2439725995063782,0.0,0.0
mix_00135,id05176,id06484,7.619492086975976,26.73814870427087,7.68266833484795,1.3899056315422058,0.0,0.0
mix_00136,id04295,id07312,-1.2705605106663507,8.19632988087827,2.027364878090432,1.1606507301330566,0.0,0.0
mix_00137,id06209,id07396,10.040981034313834,27.714589373586456,10.123191909739225,1.6428568959236145,0.0,0.0
mix_00138,id04006,id07396,9.902107278223566,27.29886532313614,9.990740288291214,1.8074699640274048,0.0,0.0
mix_00139,id03789,id06484,0.9565666775576144,7.336978779135595,3.088312104680627,1.2296388149261475,0.5,0.5
mix_00140,id03862,id04253,5.018470273505937,21.19770826726586,5.162580195710019,1.2206885814666748,1.0,1.0
mix_00141,id06484,id06816,3.3565683984475987,23.674704617183366,3.42632916637743,1.1990411877632141,0.0,0.0
mix_00142,id03677,id04536,5.415709998617426,24.107501898441367,5.507917212785165,1.6351046562194824,1.0,1.0
mix_00143,id03677,id05850,6.936843751656722,21.546713326040432,7.513818934085537,1.5321781039237976,1.0,1.0
mix_00144,id04478,id05714,5.434049371419686,21.77810952877977,5.593161366501043,1.2383460998535156,1.0,1.0
mix_00145,id04276,id06209,8.81931565378597,25.99678094962779,8.914596888092557,1.5345268249511719,1.0,1.0
mix_00146,id04006,id04656,9.830120821211102,26.231435204174517,9.941288811500876,1.6340301036834717,1.0,1.0
mix_00147,id05176,id06811,9.510380020594301,27.715376546991934,9.585284365004306,1.5039541721343994,0.0,0.0
mix_00148,id04656,id07396,4.185336808622588,19.682682965234143,4.388250758633351,1.2760872840881348,0.0,0.0
mix_00149,id04950,id06310,-0.6740397624614853,5.381238959474491,2.8720666050864136,1.1487221717834473,0.0,0.0
mix_00150,id05055,id05202,8.458205455913198,29.23956316424073,8.501547879877506,1.3712204098701477,0.5,0.5
mix_00151,id06104,id06811,0.42068006998505336,18.3327697050073,0.5548146503246724,1.1035227179527283,1.0,1.0
mix_00152,id04478,id05654,0.03890350963475525,10.599269410021538,2.5609908455855983,1.248957872390747,1.0,1.0
mix_00153,id04862,id06209,7.365864881953206,24.84830285388241,7.476327702768451,1.318095862865448,1.0,1.0
mix_00154,id05015,id05714,9.930442524196629,25.003852746767343,10.08317055035048,1.6387909054756165,0.0,0.0
mix_00155,id05999,id07354,-2.105255377015057,11.925813331101994,-1.6045469515992576,1.0885761380195618,0.5,0.5
mix_00156,id04950,id05124,7.999329752641808,27.013325946394932,8.069225663215445,1.4209859371185303,0.0,0.0
mix_00157,id04295,id06816,7.905891041938056,23.500283107476328,8.057668278348224,1.2529086470603943,1.0,1.0
mix_00158,id06209,id06913,7.768029535431409,25.115709842590846,7.877595639985834,1.329294204711914,0.0,0.0
mix_00159,id04006,id05850,7.094219738699844,23.249447871755176,7.253884708022946,1.3912354111671448,0.0,0.0
mix_00160,id03969,id03981,4.949420859078378,24.12489885783475,5.028310575072389,1.1311537623405457,0.0,0.0
mix_00161,id04295,id06692,10.962359488114455,31.188080738760213,11.007672533864495,1.7324950695037842,0.0,0.0
mix_00162,id03789,id04094,-1.9204037442561273,2.9991534869580274,1.5528289041660845,1.1853454113006592,1.0,1.0
mix_00163,id03978,id05654,1.832905486640003,19.1796150088518,1.9926144577964497,1.1544111371040344,0.0,0.0
mix_00164,id04657,id05816,8.308370793178963,28.04420408267446,8.364597528931334,1.46175879240036,0.0,0.0
mix_00165,id04232,id04253,5.635281775033239,24.530740352976643,5.70909484033199,1.4016729593276978,1.0,1.0
